##### page 1 : 6 residual bands
  y  201-  214 x  173-  519 ink=4907   OD
  y  210-  228 x  173-  519 ink=15188  VW | W | m
  y  250-  282 x  199-  495 ink=6160   + | O+ | O+
  y  302-  314 x  173-  519 ink=2930   A | TTT | 口
  y  310-  328 x  173-  519 ink=13250  W | W | 1m1 | + | V
  y  359-  390 x  241-  450 ink=3261   Gametes | Recombinant | Parental
  y  422-  435 x  173-  519 ink=4040   D
  y  431-  449 x  173-  519 ink=21174  wuhile
  y  459-  467 x  324-  331 ink=35     (no text)
  y  479-  493 x  173-  519 ink=3675   TT | FOD
  y  489-  507 x  173-  519 ink=20006  vehile
  y  543-  553 x  180-  191 ink=146    y
  y  548-  555 x  180-  188 ink=26     (no text)
  y  550-  573 x  172-  519 ink=11053  8 | 18 | 1 | TTT | TF | TTT
  y  606-  629 x  173-  519 ink=9751   W | Im | 8 | W | 111 | VW | VW | TT
  y  676-  691 x   96-  530 ink=12496  Figure 4.11 Linkage:Results oftwo dihybrid crosses conducted byMorgan.Cross A shows
##### page 19 : 8 residual bands
  y   59-  101 x  483-  612 ink=41766  (no text)
  y  193-  205 x   57-  422 ink=9257   alternativesbutawholerangeofpossibleheights.Suchtraitsaregenerally
  y  243-  257 x   57-  422 ink=10608  classic examplefor this.In apolygenictrait thephenotype reflectsthe
  y  469-  480 x   57-  422 ink=7222   onmetabolicpathwayswhichcontributetowardsdilferentphenotypes.
  y  644-  655 x   58-  423 ink=8501   basisofsex-determination.Henking(l891)couldtraceaspecificnuclear
  y  669-  681 x   57-  422 ink=7501   observedbyhimthat50per | centofthespermreceivedthisstructure
  y  678-  694 x   57-  422 ink=12052  afterspermatogenesis,whereastheother50percentspermdidnotreceive
  y  691-  707 x   57-  423 ink=11848  it.Henkinggave aname tothisstructure asthexbodybut hecould not
##### page 20 : 5 residual bands
  y   59-  101 x    0-  130 ink=42411  (no text)
  y  102-  238 x  120-  287 ink=22625  O+ | Q | XX | XY | (a)
  y  242-  327 x   87-  315 ink=20236  O+ | Q | [b) | XX | XY
  y  340-  430 x   85-  326 ink=61354  O+ | Q | ZW | ZZ | (c)
  y  426-  433 x  246-  263 ink=43     (no text)
##### page 21 : 10 residual bands
  y   59-  101 x  483-  612 ink=41766  (no text)
  y  411-  424 x   57-  422 ink=9768   Itisalsoevidentthatineachpregnancythereisalways50percent
  y  529-  536 x  514-  523 ink=53     (no text)
  y  548-  564 x  351-  532 ink=422    (no text)
  y  558-  566 x  351-  533 ink=63     16 | 16
  y  560-  569 x  351-  534 ink=77     16 | 16 | 16
  y  564-  571 x  351-  408 ink=42     口
  y  566-  580 x  352-  534 ink=352    16
  y  574-  582 x  383-  527 ink=71     (no text)
  y  577-  589 x  381-  522 ink=340    T
##### page 22 : 12 residual bands
  y   59-  101 x    0-  130 ink=42411  (no text)
  y  141-  154 x  189-  555 ink=10606  andconsequentlyresultsinchangesinthegenotypeandthephenotype
  y  254-  275 x   99-  120 ink=478    (no text)
  y  280-  302 x   99-  120 ink=508    (no text)
  y  304-  330 x   97-  123 ink=547    (no text)
  y  331-  357 x   80-  142 ink=10720  (no text)
  y  358-  380 x   80-  136 ink=1318   (no text)
  y  387-  408 x   80-  136 ink=1489   (no text)
  y  422-  444 x   80-  136 ink=1466   (no text)
  y  448-  483 x   80-  136 ink=1890   (no text)
  y  487-  537 x   80-  136 ink=5632   (no text)
  y  542-  567 x   96-  122 ink=892    5
##### page 23 : 2 residual bands
  y   59-  101 x  483-  612 ink=41766  (no text)
  y  436-  569 x   61-  487 ink=51191  TO | —○○□ | O | 口 | O | O
##### page 24 : 9 residual bands
  y   59-  101 x    0-  130 ink=42411  (no text)
